Ime,Regija,Sektor,Sistem,Prebivalstvo
Anoat,Outer Rim Territories,Anoat sector,Anoat system,Unknown
Ansion,Mid Rim Territories,Unknown,Unknown,Unknown
Antar,Inner Rim Territories,Unknown,Unknown,Unknown
Anthan Prime,Outer Rim Territories,Albarrio sector,Anthan system,Various
Aquaris,Expansion Region,Unknown,Unknown,Unknown
Aq Vetina,Unknown,Unknown,Unknown,Unknown
Arbiflux,Outer Rim Territories,Unknown,Unknown,Unknown
Arbooine,Outer Rim Territories,Unknown,Unknown,Sathari
Arbra,Outer Rim Territories,Bon'nyuw-Luq sector,Unknown,Unknown
Arcana,Unknown,Unknown,Unknown,Unknown
Argai Minor,Unknown,Unknown,Unknown,Unknown
Aria Prime,Unknown,Unknown,Unknown,Unknown
Aridus,Expansion Region,Unknown,Unknown,Unknown
Arieli,Unknown,Unknown,Unknown,Unknown
Arkania,Colonies,Unknown,Unknown,Arkanian
Arkanis,Outer Rim Territories,Arkanis sector,Arkanis system,Humans
Aris,Unknown,Unknown,Unknown,Humans
Arreyel,Inner Rim Territories,Unknown,Unknown,Unknown
Artemesium,Unknown,Unknown,Unknown,Unknown
Artiod Minor,Wild Space,Morellian Commonwealth,Artiod system,Artiodacs
Arvala-7,Unknown,Unknown,Unknown,Unknown
Ashas Ree,Outer Rim Territories,Unknown,Unknown,Unknown
Askaji,Outer Rim Territories,Unknown,Unknown,Askajian
Asmeru,Mid Rim Territories,Senex sector,Unknown,Unknown
Asusto,Outer Rim Territories,Unknown,Unknown,Unknown
Athulla,Core Worlds,Unknown,Jinata system,Unknown
Atollon,Outer Rim Territories,Lothal sector,Atollon system,Unknown
Atraken,Unknown,Unknown,Unknown,Unknown
Atterra Alpha,Outer Rim Territories,Unknown,Atterra system,Unknown
Atterra Bravo,Outer Rim Territories,Unknown,Atterra system,Humans(Atterran)
Atterra Primo,Outer Rim Territories,Unknown,Atterra system,Unknown
Aubadas,Outer Rim Territories,Dalnan sector,Unknown,Unknown
Auratera,Outer Rim Territories,Vorzyd sector,Auratera system,Various
Avedot,Colonies,Unknown,Unknown,Unknown
Avidich,Unknown Regions,Unknown,Unknown,Unknown
Axxila,Outer Rim Territories,Unknown,Unknown,Humans
Aynaboni,Unknown,Unknown,Unknown,Unknown
Bakura,Wild Space,Unknown,Unknown,Unknown
Balnab,Mid Rim Territories,Unknown,Unknown,Balnab(stranded)
Balosar,Core Worlds,Unknown,Unknown,Balosar
Bamayar,Mid Rim Territories,Unknown,Unknown,Unknown
Bamayar IX,Unknown,Unknown,Unknown,Unknown
Banas,Outer Rim Territories,Unidentified sector,Unidentified system,Unidentified species
Banchii,Outer Rim Territories,Unknown,Inugg system,Banchiian
B'ankora homeworld,Unknown,Unknown,Unknown,B'ankora
Baraan-Fa,Outer Rim Territories,Unknown,Unknown,Humans
Barab I,Outer Rim Territories,Unknown,Unknown,Barabel
Bardelberan 7,Mid Rim Territories,Unknown,Unknown,Unknown
Bardotta,Colonies,Shasos sector,Bardotta system,Bardottans
Bar'leth,Core Worlds,Unknown,Unknown,Humans
Bartokan V,Unknown,Unknown,Unknown,Bonbrak
Barton IV,Unknown,Unknown,Unknown,Unknown
Bastatha,Inner Rim Territories,Unknown,Bastatha system,Niktos
Basteel,Outer Rim Territories,Corva sector,Unknown,Unknown
Bastion,Outer Rim Territories,Unknown,Unknown,Unknown
Batonn,Outer Rim Territories,Batonn sector,Batonn system,Unknown
Batuu,Outer Rim Territories,Trilon sector,Batuu system,Various
Batuv,Expansion Region,Unknown,Unknown,Unknown
Bavva,Outer Rim Territories,Anoat sector,Unknown,Unknown
Bedlam,Unknown,Unknown,Unknown,Unknown
Begamor,Outer Rim Territories,Unknown,Unknown,Various
Behpour,Mid Rim Territories,Chommell sector,Unknown,Unknown
Belderone,Outer Rim Territories,Unknown,Belderone system,Unknown
Bendeluum,Outer Rim Territories,Anoat sector,Unknown,Unknown
Benetage,Outer Rim Territories,Unknown,Unknown,Unknown
Benglor,Unknown,Unknown,Unknown,Unknown
Bernilla,Inner Rim Territories,Unknown,Unknown,Unknown
Berzite,Outer Rim Territories,Unknown,Yost system,Unknown
Bespin,Outer Rim Territories,Anoat sector,Bespin system,"Humans,Ugnaughts"
Bestine IV,Inner Rim Territories,Unknown,Unknown,Unknown
Bestoon,Unknown,Unknown,Unknown,Unknown
Bilzen,Unknown,Unknown,Unknown,Unknown
Birren,Inner Rim Territories,Unknown,Unknown,Unknown
Birukay,Outer Rim Territories,Unknown,Unknown,Unknown
Bith,Outer Rim Territories,Unknown,Unknown,Bith
Bleuf,Core Worlds,Unknown,Unknown,Unknown
Blutopia,Expansion Region,Unknown,Unknown,Blutopians
Bogano,Outer Rim Territories,Unknown,Unknown,"Humans,Zeffonian"
Boneworld,Unknown,Unknown,Unknown,Unknown
Bora Vio,Unknown,Unknown,Lido system,Unknown
Bormus,Mid Rim Territories,Unknown,Unknown,Unknown
Botajef,Outer Rim Territories,Belsmuth sector,Botajef system,Jefi
Bothawui,Mid Rim Territories,Bothan Space,Unknown,Unknown
Botor,Core Worlds,Unknown,Unknown,Lo's species
Boz Pity,Mid Rim Territories,Unknown,Boz Pity system,Unknown
Bracca,Mid Rim Territories,Unknown,Bracca system,Unknown
Bray,Unknown,Unknown,Unknown,Brayan
Brentaal IV,Core Worlds,Bormea sector,Unknown,"Herglics,Humans"
Bri'n,Unknown,Unknown,Unknown,Unknown
Bromlarch,Mid Rim Territories,Unknown,Unknown,Unknown
Burnin Konn,Outer Rim Territories,Anoat sector,Burnin Konn system,"Humans,Nothoiins"
Byss,Deep Core,Unknown,Unknown,Unknown
Cabarria,Colonies,Unknown,Unknown,Unknown
Cadomai Prime,Outer Rim Territories,Unknown,Unknown,Snivvian
Calcoraan,Inner Rim Territories,Unknown,Calcoraan system,Unknown
Calior,Outer Rim Territories,Unknown,Unknown,Unknown
Caloria,Unknown,Tapani sector,Unknown,Unknown
Camson,Unknown,Unknown,Unknown,Unknown
Candovant,Colonies,Unknown,Unknown,Unknown
Cantonica,Outer Rim Territories,Corporate Sector,Cantonica system,Various
Caragon-Viner,Unknown,Unknown,Unknown,Unknown
Carajam,Outer Rim Territories,Unknown,Unknown,Unknown
Cardota,Core Worlds,Unknown,Hosnian system,Unknown
Carida,Colonies,Unknown,Carida system,Unknown
Carlac,Outer Rim Territories,Unknown,Carlac system,Humans(Ming Po)
Carnelion IV,Unknown,Unknown,Unknown,"Fishers,Humans"
Castell,Colonies,Unknown,Castell system,"Gossams,Humans"
Castilon,Mid Rim Territories,Tashtor sector,Castilon system,Chelidae
Catadra,Deep Core,Unknown,Cerberon system,Unknown
Cato Neimoidia,Colonies,Quellor sector,Cato Neimoidia system,Neimoidians
Cavas,Core Worlds,Bormea sector,Brentaal System,Unknown
Celwis,Unknown Regions,Unknown,Celwis system,Unknown
Cerea,Mid Rim Territories,Unknown,Unknown,Cerean
Cermau,Outer Rim Territories,Unknown,Unknown,Unknown
CeSai,Unknown,Unknown,Unknown,Unknown
Chaaktil,Inner Rim Territories,Unknown,Unknown,Humans
Chad,Outer Rim Territories,Unknown,Unknown,Chadra-Fan
Chadawa,Inner Rim Territories,Croynar sector,Chadawa system,Unknown
Chagar IX,Outer Rim Territories,Unknown,Unknown,Unknown
Chal Hudda,Outer Rim Territories,Unknown,Unknown,Chalhuddan
Chalacta,Mid Rim Territories,Unknown,Unknown,Chalactans
Champala,Inner Rim Territories,Unknown,Unknown,Chagrians
Chandar's Folly,Outer Rim Territories,Unknown,Unknown,Unknown
Chandel,Unknown,Unknown,Unknown,Unknown
Chandrila,Core Worlds,Bormea sector,Chandrila system,"Humans,Pantorans"
Charros IV,"Outer Rim Territories,The Slice",Unknown,Unknown,Unknown
Chasmeene,Unknown,Unknown,Unknown,Unknown
Chespea,Unknown,Unknown,Unknown,Unknown
Chibbier,Outer Rim Territories,Unknown,Unknown,Unknown
Cholganna,Outer Rim Territories,Unknown,Unknown,Unknown
Chommell Minor,Mid Rim Territories,Chommell sector,Unknown,Unknown
Chorin,Unknown,Unknown,Unknown,Humans
Choss,Unknown,Unknown,Unknown,Unknown
Christophsis,Outer Rim Territories,Savareen sector,Christoph system,Unknown
Chrona,Unknown,Unknown,Unknown,Unknown
Cianap,Unknown,Unknown,Unknown,Unknown
Clerion,Unknown,Unknown,Unknown,None
Codia I,Mid Rim Territories,Unknown,Codia system,Unknown
Colla IV,Inner Rim Territories,Unknown,Unknown,Colicoid
Colonial Station Camco,Unknown Regions,Unknown,Unknown,Unknown
Commenor,Colonies,Unknown,Unknown,Unknown
Cona,Inner Rim Territories,Unknown,Unknown,Arcona
Concord Dawn,Outer Rim Territories,Mandalore sector,Concord Dawn system,Humans
The Contessa's homeworld,Unknown,Unknown,Unknown,Humans
Corellia,Core Worlds,Corellian sector,Corellia system,"Humans(Corellian),Various"
Corulag,Core Worlds,Unknown,Unknown,Humans
Coruscant,Core Worlds,"Corusca sector,Coruscant subsector",Coruscant system,Various
Corvus,Outer Rim Territories,Unknown,Unknown,Unknown
Cos Secundu,Deep Core,Cosian Space,Unknown,Nu-Cosian
Cosia,Deep Core,Cosian Space,Cosia system,Cosian
Cosmatanic Steppes gas giant,Outer Rim Territories,Unknown,Unknown,Unknown
Council,Outer Rim Territories,Anoat sector,Unknown,Unknown
Courtsilius,Core Worlds,Unknown,Hosnian system,Unknown
Coyerti,Mid Rim Territories,Unknown,Unknown,Coyerti
Crait,Outer Rim Territories,Unknown,Crait system,Unknown
Crucival,Outer Rim Territories,Tion Hegemony,Unknown,Unknown
Crul,Mid Rim Territories,Unknown,Unknown,"Crolutes,Gilliands"
Csilla,Unknown Regions,Unknown,Csilla system,Chiss
Cuyacan,Expansion Region,Unknown,Unknown,Unknown
Cyclor,Mid Rim Territories,Unknown,Unknown,Cyclorrians
Cyphar,Mid Rim Territories,Unknown,Unknown,Cyphari
Cyrillia,Expansion Region,Unknown,Unknown,Unknown
Cyrkon,Outer Rim Territories,Unknown,Unknown,Unknown
Czerialus,Unknown,Unknown,Unknown,Czerialan
Daghee,Unknown,Unknown,Unknown,Humans
Dagobah,Outer Rim Territories,Sluis sector,Dagobah system,Tash
Daivak,Outer Rim Territories,Unknown,Unknown,Unknown
Daiyu,Unknown,Unknown,Unknown,Unknown
Dallenor,Mid Rim Territories,Unknown,Unknown,Unknown
Dalna,Outer Rim Territories,Dalnan sector,Unknown,Various
Damanos,Unknown,Unknown,Unknown,Unknown
Dandoran,Hutt Space,Unknown,Doran system,Unknown
Dantooine,Outer Rim Territories,Raioballo sector,Dantooine system,Humans
Darlyn Boda,Outer Rim Territories,Anoat sector,Unknown,Unknown
Daro,Outer Rim Territories,Unknown,Unknown,Unknown
Dasoor,Mid Rim Territories,Unknown,Unknown,Unknown
D'assem,Unknown,Unknown,Unknown,Unknown
Dathomir,Outer Rim Territories,Quelli sector,Dathomir system,"Fromprath(laterexiled),Zabraks(Dathomirian)"
Davnar II,Core Worlds,Unknown,Unknown,Unknown
Daxam IV,Outer Rim Territories,Unknown,Unknown,Unknown
Daxan Beta,Unknown,Unknown,Unknown,Unknown
The Deep,Unknown Regions,Unknown,Unknown,Tectozin
Deko Neimoidia,Colonies,Unknown,Unknown,Unknown
Delphon,Outer Rim Territories,Anoat sector,Unknown,Unknown
Delrian Prison Planet,Unknown,Unknown,Unknown,Unknown
Demir,Unknown Regions,Unknown,Unknown,Demirians
Denash,Outer Rim Territories,Batonn sector,Unknown,Unknown
Denon,Inner Rim Territories,Unknown,Denon system,Humans
Deris-plata,Unknown,Unknown,Unknown,Unknown
Dermos,Outer Rim Territories,Unknown,Unknown,Unknown
Desinta,Outer Rim Territories,Unknown,Unknown,Unknown
Desix,Unknown,Unknown,Unknown,Unknown
Devalok,Unknown,Unknown,Unknown,Unknown
Devaron,Colonies,Duluur sector,Devaron system,Devaronians
Dhandu,Expansion Region,Unknown,Unknown,Unknown
Dianth,Unknown,Unknown,Malitoris system,Unknown
Dinwa Prime,Inner Rim Territories,Unknown,Unknown,Unknown
Dinzo,Mid Rim Territories,Unknown,Unknown,Unknown
Distilon,Unknown,Unknown,Unknown,Unknown
Dol'har Hyde,Outer Rim Territories,Unknown,Unknown,Unknown
Donovia,Unknown,Unknown,Unknown,Unknown
Dorin,Expansion Region,Unknown,Unknown,Kel Dor
Dotharian,Hutt Space,Unknown,Unknown,Unknown
Dowut,Core Worlds,Unknown,Unknown,Dowutin
D'Qar,Outer Rim Territories,Sanbra sector,Ileenium system,Unknown
Drahgor III,Outer Rim Territories,Unknown,Unknown,Gozzo
Durkteel,Mid Rim Territories,Unknown,Durkteel system,Saurins
Duro,Core Worlds,Unknown,Unknown,Duros
Dwartii,Inner Rim Territories,Unknown,Unknown,Unknown
Dybbron III,Unknown,Unknown,Unknown,Unknown
Dybrin,Deep Core,Unknown,Unknown,Unknown
Eadu,Outer Rim Territories,Bheriz sector,Eadu system,Humans
Edis VII,Unknown,Unknown,Unknown,Unknown
Egips,Unknown,Unknown,Unknown,Unknown
Eiram,Outer Rim Territories,Unknown,Eiram system,Humans
Elkeenar,Outer Rim Territories,Unknown,Penagosis system,Unknown
Elom,Outer Rim Territories,Unknown,Unknown,"Elom,Elomin"
Elphrona,Outer Rim Territories,Unknown,Elphrona system,Unknown
Empress Teta,Deep Core,Koros sector,Empress Teta system,Various
Endor,Outer Rim Territories,Moddell sector,Endor system,Unknown
Ephemera,Inner Rim Territories,Unknown,Unknown,Unknown
Epiphany,Outer Rim Territories,Corporate Sector,Salient system,Unknown
Eriadu,Outer Rim Territories,Seswenna sector,Eriadu system,"Humans,Rodians"
Er'Kit,Outer Rim Territories,Unknown,Unknown,Er'Kit
E'ronoh,Outer Rim Territories,Unknown,Eiram system,Pantorans
Eroudac,Mid Rim Territories,Unknown,Unknown,Unknown
Ertegas,Outer Rim Territories,Anoat sector,Unknown,Unknown
Escalan,Outer Rim Territories,Unknown,Unknown,Unidentified species
Escarte,Unknown,Unknown,Unknown,Unknown
Eshan,Unknown,Unknown,Unknown,Humans
Espinar,Core Worlds,Unknown,Unknown,Unknown
Espirion,Inner Rim Territories,Unknown,Unknown,"Alder-Espirions,Espirions"
Esseles,Unknown,Unknown,Unknown,Unknown
Etai,Mid Rim Territories,Unknown,Unknown,Unknown
Etti IV,Unknown,Unknown,Unknown,Unknown
Eufornis Major,Core Worlds,Unknown,Unknown,Various
Eufornis Minor,Outer Rim Territories,Unknown,Unknown,Humans
Everon,Unknown,Unknown,Unknown,Evereni
Exegol,Unknown Regions,Unknown,Exegol system,Unknown
Ezaraa,Unknown,Unknown,Unknown,Ezaraa
Falleen,Mid Rim Territories,Unknown,Unknown,Falleen
Farana,Wild Space,Unknown,Unknown,Unknown
Farhava Beta,Unknown,Unknown,Unknown,Unknown
Fedalle,Core Worlds,Unknown,Unknown,Unknown
Federian,Unknown,Unknown,Unknown,Unknown
Fedovoi End,Unknown,Unknown,Unknown,Unknown
Feenix,Unknown,Unknown,Unknown,Unknown
Felucia,Outer Rim Territories,Thanium sector,Felucia system,"Felucians,Jungle Felucians"
Fermic,Outer Rim Territories,Unknown,Unknown,Unknown
Ferrix,Unknown,Free Trade sector,Morlani system,Various
Fest,Outer Rim Territories,Atrivis sector,Unknown,Humans
Fillithar,Unknown,Unknown,Unknown,Fillithar
Florrum,Outer Rim Territories,Sertar sector,Unknown,Various
Fondor,Colonies,Unknown,Unknown,Unknown
Foran Tutha,Outer Rim Territories,Tion Cluster,Unknown,Unknown
Forrn,Unknown,Unknown,Unknown,Unknown
Freerock,Outer Rim Territories,Unknown,Unknown,Unknown
Fresia,Unknown,Unknown,Unknown,Unknown
Frong,Outer Rim Territories,Unknown,Unknown,Frong
Gaaten,Unknown,Unknown,Unknown,Unknown
Gabdor,Unknown,Unknown,Unknown,Gabdorin
Gabredor III,Unknown,Unknown,Unknown,Unknown
Galaan,Outer Rim Territories,Corva sector,Galaan system,Unknown
Galagolos V,Colonies,Unknown,Unknown,Cloddogran
Galator III,Unknown,Unknown,Unknown,Unknown
Galdi,Unknown,Unknown,Unknown,Unknown
Galidraan,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galidraan III,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galidraan IV,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galmerah,Unknown,Unknown,Unknown,Unknown
Galpos II,Unknown,Unknown,Unknown,Unknown
Galzez,Unknown,Unknown,Unknown,Dugs
Gamerong,Unknown,Unknown,Unknown,Unknown
Gamorr,Outer Rim Territories,Galov sector,Unknown,Gamorreans
Gan Moradir,Mid Rim Territories,Unknown,Unknown,Xan
Gand,Outer Rim Territories,Shadola sector,Unknown,Gand
Gannaria,Outer Rim Territories,Trilon sector,Unknown,Unknown
Gansevor,Republic frontier,Tammuz sector,Unknown,Unknown
Ganthel,Core Worlds,Unknown,Unknown,Humans
Garel,Outer Rim Territories,Lothal sector,Garel system,"Bith,Humans"
Gargon,Unknown,Unknown,Unknown,Unknown
Gatalenta,Core Worlds,Unknown,Unknown,Humans
Gazian,Mid Rim Territories,Unknown,Gazian system,Unknown
Gentes,Outer Rim Territories,Anoat sector,Unknown,Ugnaughts
Geonosis,Outer Rim Territories,Arkanis sector,Geonosis system,Geonosians
Geptish,Unknown,Unknown,Unknown,Unknown
Gerrenthum,Outer Rim Territories,Anoat sector,Gerrenthum system,Unknown
Gesaral Beta,Unknown,Unknown,Unknown,Unknown
GH-531,Unknown Regions,Unknown,Unknown,Unknown
Ghorman,Colonies,Unknown,Unknown,Unknown
Giermos,Unknown,Unknown,Unknown,Unknown
Gigor,Outer Rim Territories,Tynquay sector,Unknown,Gigorans
Giju,Colonies,Unknown,Unknown,Unknown
Gilvaanen,Inner Rim Territories,Unknown,Unknown,Ithorians
Glee Anselm,Mid Rim Territories,Unknown,Jalor system,"Anselmi,Nautolans"
Gloam,Outer Rim Territories,Dalnan sector,Unknown,Unknown
Gonda,Outer Rim Territories,Unknown,Unknown,Unknown
Gorse,Inner Rim Territories,Unknown,Gorse system,Various
Gossam,Unknown,Unknown,Unknown,Unknown
Graf-World,Wild Space,Unknown,Unknown,Unknown
Grange,Mid Rim Territories,Rocantor sector,Unknown,Humans
Gravlex Med,Outer Rim Territories,Unknown,Unknown,Anx
Grizmallt,Core Worlds,Unknown,Unknown,Humans
Guagenia,Inner Rim Territories,Guagenian sector,Unknown,Unknown
Guat'a,Outer Rim Territories,Unknown,Unknown,Unknown
GUHL-JO387O,Outer Rim Territories,Unknown,Unknown,Unknown
Guiteica,Unknown,Unknown,Unknown,Unknown
Gulhadar,Unknown,Unknown,Unknown,Unknown
Gutretee,Outer Rim Territories,Anoat sector,Unknown,Unknown
Gwongdeen,Colonies,Unknown,Unknown,Unknown
Gyndine,Expansion Region,Circarpous sector,Unknown,Unknown
Hadros,Outer Rim Territories,Unknown,Unknown,Unknown
Haidoral Prime,Mid Rim Territories,Kontahr sector,Unknown,Unknown
Haileap,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Halcyon,Colonies,Unknown,Unknown,Unknown
Haneli,Expansion Region,Unknown,Unknown,Unknown
Harkrova I,Unknown,Unknown,Harkrova system,Unknown
Harloff Minor,Core Worlds,Unknown,Unknown,Unknown
Haruun Kal,Mid Rim Territories,Unknown,Unknown,"Humans,Korun"
Hays Major,Outer Rim Territories,Unknown,Otomok system,Unknown
Hays Minor,Outer Rim Territories,Unknown,Otomok system,Unknown
Hebekrr Major,Outer Rim Territories,Unknown,Hebekrr system,None
Hebekrr Minor,Outer Rim Territories,Unknown,Hebekrr system,Unknown
Hetzal Prime,Outer Rim Territories,Unknown,Hetzal system,Unknown
Hevurion,Inner Rim Territories,Unknown,Unknown,Humans
Hinari,Outer Rim Territories,Unknown,Unknown,Unknown
Hindle,Core Worlds,Unknown,Unknown,Unknown
Hirara,Outer Rim Territories,Unknown,Five Points system,Unknown
Hisseen,Mid Rim Territories,Unknown,Unknown,Hisseenians
Hissrich,Outer Rim Territories,Unknown,Unknown,Unidentified species
Hofsgut,Unknown,Unknown,Unknown,Unknown
Horuz,Outer Rim Territories,Unknown,Unknown,Unknown
Hosnian,Core Worlds,Unknown,Hosnian system,Unknown
Hosnian Prime,Core Worlds,Unknown,Hosnian system,Humans
Hosra,Outer Rim Territories,Anoat sector,Burnin Konn system,Unknown
Hoth,Outer Rim Territories,Anoat sector,Hoth system,Various
Hovun IV,Expansion Region,Unknown,Unidentified system,Various
Hoxim,Unknown Regions,Unknown,Unknown,Unknown
Hudalla,Unknown,Unknown,Hudalla system,Unknown
Huk,Wild Space,Huk sector,Unknown,Yam'rii
Humbarine,Core Worlds,Unknown,Unknown,Unknown
Hynestia Prime,Colonies,Unknown,Unknown,Humans(Hynestians)
Hyperkarn,Outer Rim Territories,Unknown,Unknown,Unknown
Hypori,Outer Rim Territories,Unknown,Unknown,Unknown
Iakar,Outer Rim Territories,Unknown,Iakar system,Iakaru
Ibaar,Outer Rim Territories,Unknown,Unknown,Various
Iego,Outer Rim Territories,Ash Worlds,Unknown,Various
Ikkrukk,Mid Rim Territories,Unknown,Unknown,Ikkrukkians
Iktotchon,Expansion Region,Narvath sector,Iktotch system,Unknown
Iloh,Inner Rim Territories,Unknown,Unknown,Humans
Ilum,Unknown Regions,7G sector,Ilum system,Unknown
Imroosia,Inner Rim Territories,Unknown,Unknown,Imroosian
Imvur,Unknown,Unknown,Hasmir system,Unknown
Indoumodo,Wild Space,Unknown,Unknown,Unknown
Insk,Unknown,Unknown,Unknown,Unknown
Inusagi,Mid Rim Territories,Unknown,Unknown,"Humans,Rayeth"
Ione,Outer Rim Territories,Anoat sector,Ione system,Unknown
Ipsidon,Unknown,Unknown,Unknown,Humans
Irff,Unknown,Unknown,Unknown,Unknown
Iridonia,Mid Rim Territories,Unknown,Unknown,Zabraks
Irudiru,Wild Space,Unknown,Irudiru system,Unknown
Isde Naha,Outer Rim Territories,Unknown,Unknown,Unknown
Iskalon,Mid Rim Territories,Unknown,Unknown,Unknown
Isobe,Expansion Region,Unknown,Thustra system,Sephi
Ison,Outer Rim Territories,Anoat sector,Ison system,Unknown
Itapi Prime,Unknown,Unknown,Unknown,Unknown
Ithor,Mid Rim Territories,Unknown,Ottega system,Ithorians
Itzeho,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Ivarujar,Expansion Region,Unknown,Unknown,Unknown
Ivera X,Unknown,Unknown,Unknown,Unknown
I'vorcia Prime,Outer Rim Territories,Unknown,Unknown,Unknown
Ixilix,Unknown,Unknown,Unknown,Unknown
Jabiim,Outer Rim Territories,Unknown,Unknown,Unknown
Jaelen,Unknown,Unknown,Unknown,Unknown
Jafan,Mid Rim Territories,Chommell sector,Unknown,Jafani
Jaguada,Unknown,Unknown,Unknown,Unknown
Jakku,Inner Rim Territories,Jakku's sector,Jakku system,"Teedo,Uthuthma"
Jalindi,Outer Rim Territories,Unknown,Jalindi system,Unknown
Jamiron,Unknown Regions,Unknown,Jamiron system,Unknown
Janx II,Unknown,Unknown,Unknown,Unknown
Japeal,Galactic Frontier,Unknown,Unknown,Various
Jarbanov,Expansion Region,Unknown,Junker systems,Unknown
Jaresh,Outer Rim Territories,Corva sector,Unknown,Kyuzo
Jaymir,Unknown,Unknown,Unknown,Humans
Jekara,Mid Rim Territories,Unknown,Jekara system,Unknown
Jelucan,Outer Rim Territories,Unknown,Unknown,Unknown
Jeosyn,Outer Rim Territories,Unknown,Unknown,Unidentified species
Jereth VI,Unknown,Unknown,Unknown,Unknown
Jestefad,Outer Rim Territories,Atravis sector,Mustafar system,Unknown
Jeyell,Mid Rim Territories,Unknown,Unknown,Unknown
Jhas,Outer Rim Territories,Anoat sector,Hoth system,Unknown
Jiruus,Unknown,Unknown,Jiruus system,Jiruusi
Jondora,Unknown,Unknown,Unknown,Unknown
Judakann,Outer Rim Territories,Torch Nebula,Unknown,Unknown
K43,Wild Space,Unknown,Unknown,Unknown
Kalarba,Mid Rim Territories,Unknown,Unknown,Unknown
Kadavo,Wild Space,Unknown,Kadavo system,Zygerrians
Kaddak,Outer Rim Territories,Unknown,Kaddak system,Unknown
Kalee,Wild Space,Unknown,Unknown,Kaleesh
Kalevala,Outer Rim Territories,Mandalore sector,Mandalore system,Humans
Kalist VI,Deep Core,Unknown,Unknown,Unknown
Kaller,Outer Rim Territories,Unknown,Kaller system,Kallerans
Kal'Shebbol,Outer Rim Territories,Unknown,Unknown,Unknown
Kamil,Wild Space,Unidentified sector,Unknown,Unknown
Kamino,Extragalactic,Unknown,Kamino system,Kaminoans
Kanzi,Unknown,Unknown,Unknown,Unknown
Kardoa,Outer Rim Territories,Unknown,Unknown,Unknown
Karfeddion,Mid Rim Territories,Senex sector,Unknown,Unknown
Karkaris,Outer Rim Territories,Nilgaard sector,Unknown,Karkarodons
Karlinus,Mid Rim Territories,Chommell sector,Unknown,"Humans,Rodians"
